service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1308-Trains-Saturday-99,0,0,0,0,0,1,0,20130831,20131206
1308-Trains-Sunday-99,0,0,0,0,0,0,1,20130831,20131206
1308-Trains-Weekday-99,1,1,1,1,1,0,0,20130831,20131206
1308-Trips-Saturday-05,0,0,0,0,0,1,0,20130831,20131206
1308-Trips-Sunday-07,0,0,0,0,0,0,1,20130831,20131206
1308-Trips-Weekday-31,1,1,1,1,1,0,0,20130831,20131206
1308-Trips-Weekday-31-0000100,0,0,0,0,1,0,0,20130831,20131206
1308-Trips-Weekday-31-0001100,0,0,0,1,1,0,0,20130831,20131206
1308-Trips-Weekday-31-1110000,1,1,1,0,0,0,0,20130831,20131206
1308-Trips-Weekday-31-1111000,1,1,1,1,1,0,0,20130831,20131206
1312-Trains-Saturday-99,0,0,0,0,0,1,0,20131207,20140103
1312-Trains-Sunday-99,0,0,0,0,0,0,1,20131207,20140103
1312-Trains-Weekday-99,1,1,1,1,1,0,0,20131207,20140103
1312-Trips-Saturday-01,0,0,0,0,0,1,0,20131207,20140103
1312-Trips-Sunday-01,0,0,0,0,0,0,1,20131207,20140103
1312-Trips-Weekday-01,1,1,1,1,1,0,0,20131207,20140103
1312-Trips-Weekday-01-0000100,0,0,0,0,1,0,0,20131207,20140103
1312-Trips-Weekday-01-0001100,0,0,0,1,1,0,0,20131207,20140103
1312-Trips-Weekday-01-0011100,0,0,1,1,1,0,0,20131207,20140103
1312-Trips-Weekday-01-1100000,1,1,0,0,0,0,0,20131207,20140103
1312-Trips-Weekday-01-1111000,1,1,1,1,1,0,0,20131207,20140103
