service_id,date,exception_type
1308-Trains-Saturday-96,20131130,1
1308-Trips-Saturday-06,20131130,1
1308-Trains-Saturday-99,20131130,2
1308-Trips-Saturday-05,20131130,2
1308-Trains-Sunday-93,20131201,1
1308-Trips-Sunday-08,20131201,1
1308-Trains-Sunday-99,20131201,2
1308-Trips-Sunday-07,20131201,2
1312-Trips-Weekday-02,20131219,1
1312-Trips-Weekday-02-0000100,20131219,1
1312-Trips-Weekday-02-0001100,20131219,1
1312-Trips-Weekday-02-0011100,20131219,1
1312-Trips-Weekday-02-1100000,20131219,1
1312-Trips-Weekday-02-1111000,20131219,1
1312-Trips-Weekday-01,20131219,2
1312-Trips-Weekday-01-0000100,20131219,2
1312-Trips-Weekday-01-0001100,20131219,2
1312-Trips-Weekday-01-0011100,20131219,2
1312-Trips-Weekday-01-1100000,20131219,2
1312-Trips-Weekday-01-1111000,20131219,2
1312-Trips-Weekday-02,20131220,1
1312-Trips-Weekday-02-0000100,20131220,1
1312-Trips-Weekday-02-0001100,20131220,1
1312-Trips-Weekday-02-0011100,20131220,1
1312-Trips-Weekday-02-1100000,20131220,1
1312-Trips-Weekday-02-1111000,20131220,1
1312-Trips-Weekday-01,20131220,2
1312-Trips-Weekday-01-0000100,20131220,2
1312-Trips-Weekday-01-0001100,20131220,2
1312-Trips-Weekday-01-0011100,20131220,2
1312-Trips-Weekday-01-1100000,20131220,2
1312-Trips-Weekday-01-1111000,20131220,2
1312-Trips-Sunday-02,20131222,1
1312-Trips-Sunday-01,20131222,2
1312-Trips-Weekday-03,20131223,1
1312-Trips-Weekday-03-0000100,20131223,1
1312-Trips-Weekday-03-0011100,20131223,1
1312-Trips-Weekday-03-1100000,20131223,1
1312-Trips-Weekday-03-1111000,20131223,1
1312-Trips-Weekday-01,20131223,2
1312-Trips-Weekday-01-0000100,20131223,2
1312-Trips-Weekday-01-0001100,20131223,2
1312-Trips-Weekday-01-0011100,20131223,2
1312-Trips-Weekday-01-1100000,20131223,2
1312-Trips-Weekday-01-1111000,20131223,2
1312-Trains-Weekday-98,20131224,1
1312-Trips-Weekday-04,20131224,1
1312-Trips-Weekday-04-0000100,20131224,1
1312-Trips-Weekday-04-0011100,20131224,1
1312-Trips-Weekday-04-1100000,20131224,1
1312-Trips-Weekday-04-1111000,20131224,1
1312-Trains-Weekday-99,20131224,2
1312-Trips-Weekday-01,20131224,2
1312-Trips-Weekday-01-0000100,20131224,2
1312-Trips-Weekday-01-0001100,20131224,2
1312-Trips-Weekday-01-0011100,20131224,2
1312-Trips-Weekday-01-1100000,20131224,2
1312-Trips-Weekday-01-1111000,20131224,2
1312-Trips-Sunday-03,20131225,1
1312-Trips-Sunday-01,20131225,2
1312-Trips-Saturday-02,20131226,1
1312-Trips-Saturday-01,20131226,2
