pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time
9021,1,09021,09021,0
9022,1,09022,09022,0
9023,1,09023,09023,0
9031,1,09031,09031,0
9032,1,09032,09032,0
9033,1,09033,09033,0
9041,1,09041,09041,0
9042,1,09042,09042,0
9051,1,09051,09051,0
9052,1,09052,09052,0
9061,1,09061,09061,0
9062,1,09062,09062,0
9063,1,09063,09063,0
9071,1,09071,09071,0
9081,1,09081,09081,0
9091,1,09091,09091,0
9111,1,09111,09111,0
9113,1,09113,09113,0
9114,1,09114,09114,0
9121,1,09121,09121,0
9123,1,09123,09123,0
9131,1,09131,09131,0
9141,1,09141,09141,0
9151,1,09151,09151,0
9161,1,09161,09161,0
9171,1,09171,09171,0
9181,1,09181,09181,0
9191,1,09191,09191,0
9211,1,09211,09211,0
9221,1,09221,09221,0
9231,1,09231,09231,0
9241,1,09241,09241,0
9311,1,09311,09311,0
9321,1,09321,09321,0
9331,1,09331,09331,0
9341,1,09341,09341,0
9351,1,09351,09351,0
9441,1,09441,09441,0
9601,1,09601,09601,0
9612,1,09612,09612,0
9613,1,09613,09613,0
9614,1,09614,09614,0
9621,1,09621,09621,0
9631,1,09631,09631,0
9641,1,09641,09641,0
9651,1,09651,09651,0
9681,1,09681,09681,0
9701,1,09701,09701,0
9712,1,09712,09712,0
9721,1,09721,09721,0
9722,1,09722,09722,0
9731,1,09731,09731,0
9741,1,09741,09741,0
9742,1,09742,09742,0
9771,1,09771,09771,0
9911,1,09911,09911,0
9921,1,09921,09921,0
9939,1,09939,09939,0
9941,1,09941,09941,0
20001,1,09071,09071-1,300
20002,1,09071,09071-2,300
20003,1,09071-1,09071,300
20004,1,09071-2,09071,300
20005,1,09921,09921-1,300
20006,1,09921-1,09921,300
20007,1,09171,09171-1,300
20008,1,09171,09171-2,300
20009,1,09171-1,09171,300
20010,1,09171-2,09171,300
20011,1,09151,09151-1,300
20012,1,09151,09151-2,300
20013,1,09151-1,09151,300
20014,1,09151-2,09151,300
20015,1,09631,09631-1,300
20016,1,09631,09631-2,300
20017,1,09631,09631-3,300
20018,1,09631,09631-4,300
20019,1,09631-1,09631,300
20020,1,09631-2,09631,300
20021,1,09631-3,09631,300
20022,1,09631-4,09631,300
20023,1,09681,09681-1,300
