route_id,service_id,trip_id,trip_headsign,direction_id
1-1308,1308-Trains-Saturday-99,5463523-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463524-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463525-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463526-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463527-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463528-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463529-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463530-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463531-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463532-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463533-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463534-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463535-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463536-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463537-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463538-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463539-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463540-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463541-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463542-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463543-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463544-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463545-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463546-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463547-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463548-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463549-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463550-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463551-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463552-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463553-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463554-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463555-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463556-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463557-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463558-1308-Trains-Saturday-99,,1
1-1308,1308-Trains-Saturday-99,5463584-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463585-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463586-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463587-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463588-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463589-1308-Trains-Saturday-99,,0
1-1308,1308-Trains-Saturday-99,5463590-1308-Trains-Saturday-99,,0
